ID,conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,translated_text,sentiment
0,1.80E+18,Fri Jun 14 06:00:09 +0000 2024,20853,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam NARCISSISM 관련 다양한 소식을 공식 X 계정 에서 확인해보세요,1.80E+18,ko,355,475,13150,https://x.com/NCTsmtown/status/1801494817869906204,4811011050,NCTsmtown,NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam Check out various news related to NARCISSISM on the official,Neutral
1,1.80E+18,Fri Jun 14 01:44:55 +0000 2024,46197,첫 개인 사진전 6월 29일오픈 사진 작가로 데뷔 재민의 독창적인 감성으로 팬들과 교감 7년 동안 재민의 시선으로 바라본 세상 한눈에 만난다,1.80E+18,ko,3011,1600,27395,https://x.com/NCTsmtown/status/1801430585011015787,4811011050,NCTsmtown,First solo photo exhibition opens on June 29 Debut as a photographer Jaemin communicates with fans through his unique sensibility See the world seen through Jaemin's eyes for 7 years at a glance,Positive
2,1.80E+18,Thu Jun 13 06:19:50 +0000 2024,1670,NARCISSISM PHOTOGRAPHER NA JAEMIN 1st PHOTO EXHIBITION,1.80E+18,en,57,0,1023,https://x.com/jamong1323/status/1801137384052207626,1.42E+18,jamong1323,NARCISSISM PHOTOGRAPHER NA JAEMIN 1st PHOTO EXHIBITION,Neutral
3,1.80E+18,Mon Jun 17 15:25:10 +0000 2024,4855,Jaemin got casted while volunteering and till this day he still continues to do it HE S ALWAYS THE BEST BOY FROM THE START,1.80E+18,en,109,8,2423,https://x.com/user13082000_/status/1802724173955076490,1.47E+18,user13082000_,Jaemin got casted while volunteering and till this day he still continues to do it HE S ALWAYS THE BEST BOY FROM THE START,Positive
4,1.80E+18,Thu Jun 13 10:38:04 +0000 2024,288,Mini Support Project for NARCISSISM JAEMIN 1st PHOTO EXHIBITION 재민이의 시선 나르시시즘 Header Twibbon Let s support Jaemin happily,1.80E+18,ko,32,1,255,https://x.com/najaeminnesia/status/1801202371022000580,1.34E+18,najaeminnesia,Mini Support Project for NARCISSISM JAEMIN 1st PHOTO EXHIBITION Jaemin's perspective Narcissism Header Twibbon Let s support Jaemin happily,Positive
5,1.80E+18,Mon Jun 17 15:03:21 +0000 2024,14,Kim Dongjun described Seongwu as lively well mannered and bright Seeing that aspect of him often reminded him of time spent with Hyungsik,1.80E+18,en,1,1,6,https://x.com/hueofserenity/status/1802718683594469565,540700934,hueofserenity,Kim Dongjun described Seongwu as lively well mannered and bright Seeing that aspect of him often reminded him of time spent with Hyungsik,Positive
6,1.80E+18,Mon Jun 17 06:37:42 +0000 2024,219,ครั้งแรกที่แจมินใส่ Ernest W Baker เลยมั้ยเนี่ย Black Double Breasted Blazer ตัวนี้สวยมาก ดีเทลก็เริ่ดมากๆ ใส่ละเข้าตัวสุด 34 ฿ JAEMIN in Ernest W Baker,1.80E+18,und,7,0,363,https://x.com/onyournanaday/status/1802591432601145714,2932060502,onyournanaday,Is this the first time Jaemin has worn Ernest W Baker? This Black Double Breasted Blazer is very beautiful and the details are really cool. Wear it and it fits perfectly. 34 ฿ JAEMIN in Ernest W Baker,Positive
7,1.80E+18,Mon Jun 17 06:18:56 +0000 2024,29,NCTジェミン初の個展を開催 ジェミン初の写真展で、写真家「ナ・ジェミン」としてのデビュー展 NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam,1.80E+18,ja,1,0,9,https://x.com/Kittotoday/status/1802586710804668746,1.66E+18,Kittotoday,"NCT Jaemin's first solo exhibition held Jaemin's first photo exhibition, his debut as photographer ""Na Jaemin"" NARCISSISM JAEMIN 1st PHOTO EXHIBITION OPEN 29 JUNE 2024 10 00 AM 07 00 PM S Hannam",Neutral
8,1.80E+18,Mon Jun 17 13:00:49 +0000 2024,1114,H aku ada rencana bulan depan mau ke e hibition narcissism nya jaemin Kalo aku buka handcarry photobook merchnya ada yg mau kah Harganya pasti aku samain mirip2 sm jastip yg lain sih Tp masih nunggu announcenya nih biar tau kira2 brp yg bisa aku bawa pulang ke indo,1.80E+18,in,27,208,125,https://x.com/aditaariga/status/1802687847734141301,381861064,aditaariga,"H, I have plans next month to go to Jaemin's Narcissism Inhibition If I open the handcarry photobook merch, is there anyone who wants it? I'm sure the price will be the same as the other jastips, but I'm still waiting for the announcement so I know how much I can bring back to Indonesia.",Neutral
9,1.80E+18,Mon Jun 17 12:59:38 +0000 2024,1,meow JAEMIN 1ST PHOTO EXHIBITION,1.80E+18,en,0,0,1,https://x.com/Ppatchaxxn/status/1802687547908436333,1.43E+18,Ppatchaxxn,meow JAEMIN 1ST PHOTO EXHIBITION,Neutral
