,conversation_id_str,created_at,favorite_count,full_text,id_str,lang,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,translated_text
0,1.81613e+18,Wed Jul 24 15:01:19 +0000 2024,6018,has anybody seen jaemin,1.81613e+18,en,84,3,2153,https://x.com/njaeminlands/status/1816126523180736864,1.6625e+18,njaeminlands,has anybody seen jaemin
1,1.81612e+18,Wed Jul 24 14:33:40 +0000 2024,5081,you know what jeno s team could ve easily won the game with their skills combined but they were too busy laughing cause mark jaemin and jisung were TOO FUNNY and i get it so much it s not their fault,1.81612e+18,en,105,1,1257,https://x.com/njaeminlands/status/1816119563773435923,1.6625e+18,njaeminlands,you know what jeno s team could ve easily won the game with their skills combined but they were too busy laughing cause mark jaemin and jisung were TOO FUNNY and i get it so much it s not their fault
2,1.8161e+18,Wed Jul 24 13:05:45 +0000 2024,79,𝒉𝒆𝒍𝒑 𝑹𝑻 𝒂𝒏𝒅 𝒍𝒊𝒌𝒆 hai aku mau share FREEBIES online bantu habisin yhh Jaemin birthday Leo Boys Narcissism 1 Narcissism 2 boleh co yg kalian suka ya,1.8161e+18,in,1,26,45,https://x.com/adanunna/status/1816097439981641771,1.15043e+18,adanunna,𝒉𝒆𝒍𝒑 𝑹𝑻 𝒀
3,1.81602e+18,Wed Jul 24 08:01:50 +0000 2024,14,NARCISSISM Jaemin E hibition TWO SIDES in JKT FREEBIES SUPPORT by [ rt like are appreciated] 8 sept 24 online offline ﾟ10 packs online 10 packs offline ﾟdetail information on pic ﾟgfrom link TBA see you at the e hibition princess,1.81602e+18,ja,1,2,9,https://x.com/jerknolee/status/1816020954687922240,770694571.0,jerknolee,NARCISSISM Jaemin E hibition TWO SIDES in JKT FREEBIES SUPPORT by [ rt like are appreciated] 8 sept 24 online offline ﾟ10 packs online 10 packs offline ﾟdetail information on pic ﾟgfrom link TBA see you at the e hibition princess
4,1.81594e+18,Wed Jul 24 02:23:43 +0000 2024,27,〚 USA GO 〛 | pls rt Jaemin Narcissism ITZAVIBE pricing 15 00 65 00 deadline july 24th @ 11 59pm cst or cap 20 joiners,1.81594e+18,en,2,0,2,https://x.com/haajiGOs/status/1815935864217985386,1.1719e+18,haajiGOs,〚 USA GO 〛 | pls rt Jaemin Narcissism ITZAVIBE pricing 15 00 65 00 deadline july 24th @ 11 59pm cst or cap 20 joiners
5,1.81612e+18,Wed Jul 24 14:16:58 +0000 2024,82,NCT FREEBIES FREE CLAIM Help re tweet are apreciated Detail freebies ada di thread ini ya NCT Dream Anniversary Mark Birthday Jaemin Birthday Narcissism Thank you love,1.81612e+18,en,1,4,55,https://x.com/rinaisandikala/status/1816115362737578209,1.55194e+18,rinaisandikala,NCT FREEBIES FREE CLAIM Help re tweet are apreciated Detail freebies ada di thread ini ya NCT Dream Anniversary Mark Birthday Jaemin Birthday Narcissism Thank you love
6,1.81599e+18,Wed Jul 24 06:18:36 +0000 2024,4,[pls RT] รับหิ้วนิทรรศการแจมิน NARCISSISM เราเข้า2รอบ 26 กับ 29 ค่า ราคาตามภาพเลยค่ะ เก็บรอบเดียว จ่ายเต็ม ของหมดคืน100 นัดรับสยาม ลาดพร้าว นัดรับแถมโปสคอน TDS3 ค่าส่ง 50 ปิดรับ 25 07 เวลา 20 00 ไทย สนใจDM,1.81599e+18,th,0,6,5,https://x.com/onyouri__ce/status/1815994977438294142,121051812.0,onyouri__ce,"[pls RT] Pick up the Jaemin NARCISSISM exhibition. We went in 2 rounds, 26 and 29. The price is as shown in the picture. Collect for one round, pay in full. All items returned for 100. Make an appointment to pick up at Siam Lat Phrao. Make an appointment to pick up and get a TDS3 poster. Shipping fee is 50. Closing for pick up 25 07. Time: 20:00 Thailand. If interested, DM."
7,1.81604e+18,Wed Jul 24 09:08:48 +0000 2024,9,ส่งต่อสิทธิ์ NARCISSISM JAEMIN 1st PHOTO EXHIBITION LP POSTER SET เจโน่ JENO 1 660฿ แจมิน JAEMIN 1 660฿ เราซื้อกับร้าน เปลี่ยนที่อยู่ให้เลยค่า รับคู่ก่อนนะคะ เราออกค่าส่งให้ค่ะ,1.81604e+18,und,2,4,2,https://x.com/mytriplejay/status/1816037809104511440,1.4163e+18,mytriplejay,Forwarding rights NARCISSISM JAEMIN 1st PHOTO EXHIBITION LP POSTER SET JENO JENO 1 660฿ Jaemin JAEMIN 1 660฿ We bought from the store. Change your address now. Get a pair first. We pay the shipping cost.
8,1.81596e+18,Wed Jul 24 03:53:18 +0000 2024,405,นอกจากจะเป็นศิลปิน นักแสดง นายแบบ ช่างภาพ เจ้าของนิทรรศการ แล้วยังเป็นลูกชิ้นด้วยนะ เก่งอะ NARCISSISM BY NA JAEMIN,1.81596e+18,th,2,100,886,https://x.com/baepna/status/1815958410011238575,3267928549.0,baepna,"In addition to being an artist, actor, model, photographer, and exhibition owner. And it's also a meatball. So good. NARCISSISM BY NA JAEMIN"
9,1.81592e+18,Wed Jul 24 01:22:42 +0000 2024,8,Day 26 แล้วภาพที่แจมินถ่ายยังสวยงามเสมอตั้งแต่วันแรกจนถึงวันนี้เลยนะคนเก่ง ภูมิใจในตัวแจมินมากๆนะ หวังว่าในอนาคตจะได้ทำอะไรที่ชอบเยอะๆและเติบโตอย่างมีความสุขนะแจมิน I will always be by your side NARCISSISM BY NA JAEMIN,1.81592e+18,th,0,1,25,https://x.com/mintthyr/status/1815920508527075751,1.17709e+18,mintthyr,"Day 26 and the pictures Jaemin took are still beautiful from the first day until today, you talented person. I'm very proud of Jaemin. I hope that in the future I will be able to do a lot of things that I like and grow up happily, Jaemin. I will always be by your side NARCISSISM BY NA JAEMIN"
